NL;FOL;LLM_FOL;BLEU;LE
A vacation is relaxing if it includes beautiful scenery and enjoyable activities.;∀x (Vacation(x) ∧ Relaxing(x) → (BeautifulScenery(x) ∧ EnjoyableActivities(x)));vacation(X) ∧ beautiful_scenery(Y) ∧ enjoyable_activities(Z) → relaxing(X);0.0;0.875
A gemstone can be a diamond, a ruby, or an emerald, but not more than one type of gemstone.;∀x (Gemstone(x) → ((Diamond(x) ∧ ¬(Ruby(x) ∨ Emerald(x))) ∨ (Ruby(x) ∧ ¬(Diamond(x) ∨ Emerald(x))) ∨ (Emerald(x) ∧ ¬(Diamond(x) ∨ Ruby(x)))));∀x (Gemstone(x) → (Diamond(x) ∨ Ruby(x) ∨ Emerald(x))) ∧ ∀x ∀y (Diamond(x) ∧ Diamond(y) → x = y) ∧ ∀x ∀y (Ruby(x) ∧ Ruby(y) → x = y) ∧ ∀x ∀y (Emerald(x) ∧ Emerald(y) → x = y);0.4715101115051851;0.0
People who speak more than one language are bilingual or multilingual.;∀x (SpeakMultipleLanguages(x) → (Bilingual(x) ∨ Multilingual(x)));bilingual(X) ∨ multilingual(X) :- speaks(X, Y, Z), Y ≠ Z.;0.14962848372546667;0.0
An organization is non-profit if it has a charitable mission, does not distribute profits to owners, and primarily relies on donations.;∀x (Organization(x) ∧ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ ReliesOnDonations(x) → NonProfit(x));∀x (NonProfit(x) ↔ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ PrimarilyReliesOnDonations(x));0.5544118764282059;0.15625
A flower is characterized as a monocot if it has a single cotyledon, parallel-veined leaves, and flower parts in multiples of three.;∀x (Flower(x) ∧ SingleCotyledon(x) ∧ ParallelVeinedLeaves(x) ∧ FlowerPartsInMultiplesOfThree(x) → Monocot(x));∀x (Flower(x) → (Monocot(x) ↔ (SingleCotyledon(x) ∧ ParallelVeinedLeaves(x) ∧ FlowerPartsInMultiplesOfThree(x))));0.7298926162113921;0.78125
A fabric that is lightweight, breathable, and absorbs moisture is suitable for athletic wear.;∀x (Fabric(x) ∧ Lightweight(x) ∧ Breathable(x) ∧ AbsorbsMoisture(x) → SuitableForAthleticWear(x));∀x (Lightweight(x) ∧ Breathable(x) ∧ MoistureAbsorbing(x) → AthleticWearSuitable(x));0.5357371015902906;0.96875
A place is considered a library if it houses a collection of books, periodicals, and other media for public use and study.;∀x (Place(x) ∧ HousesCollectionOfMedia(x) ∧ (Books(x) ∨ Periodicals(x) ∨ OtherMedia(x)) ∧ ForPublicUseAndStudy(x) → Library(x));∀x (Library(x) ↔ (CollectionOfBooks(x) ∧ CollectionOfPeriodicals(x) ∧ CollectionOfOtherMedia(x) ∧ PublicUse(x) ∧ Study(x)));0.3243884534154388;0.5546875
Birds possess feathers, have a beak, and lay eggs, while their ability to fly is facilitated by their lightweight bones and specialized muscles.;∀x (Bird(x) → (PossessFeathers(x) ∧ HasBeak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ AbilityToFly(x)));∀x (Bird(x) → Feathers(x) ∧ Beak(x) ∧ LayEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ Fly(x));0.6733856676806714;0.515625
A child plays with a toy in a playground.;∀x∀y∀z (Child(x) ∧ Toy(y) ∧ Playground(z) → PlaysWith(x, y, z));∀x (Child(x) ∧ Toy(y) ∧ Playground(z) → Plays(x, y, z));0.7291030371170781;1.0
A person is considered a physicist if they study the nature and properties of matter and energy.;∀x (Person(x) ∧ StudiesNatureAndPropertiesOfMatterAndEnergy(x) → Physicist(x));∀x (Person(x) ∧ Study(x, Nature, Properties, Matter, Energy) → Physicist(x));0.5062207341391868;1.0
A well-insulated building conserves energy by maintaining a stable temperature.;∀x (WellInsulatedBuilding(x) → ConservesEnergyByMaintainingStableTemperature(x));well_insulated(X) ∧ building(X) → conserves_energy(X) ∧ stable_temperature(X);0.0;0.6875
To be eligible for a promotion, an employee must have worked at the company for at least two years and have a good performance record, unless they have a recommendation from a supervisor.;∀x (Employee(x) ∧ EligibleForPromotion(x) ↔ ((WorkedAtCompanyForTwoYears(x) ∧ GoodPerformanceRecord(x)) ∨ RecommendationFromSupervisor(x)));eligible_for_promotion(X) ∧ worked_at_company(X, Y) ∧ Y >= 2 ∧ good_performance_record(X) ∧ (has_recommendation_from_supervisor(X) ∨ ¬has_recommendation_from_supervisor(X));0.0;0.0
Not all flowers bloom in spring.;¬∀x (Flower(x) → BloomsInSpring(x));∀x (Flower(x) → ¬BloomInSpring(x));0.7138957847176474;0.5
A movie is classified as a romantic comedy if it has elements of both romance and comedy.;∀x (Movie(x) ∧ HasRomance(x) ∧ HasComedy(x) → RomanticComedy(x));∀x (Movie(x) → (Romance(x) ∧ Comedy(x)) → RomanticComedy(x));0.6292544512646048;0.75
Chefs prepare meals, waiters serve meals, and customers enjoy meals at a restaurant.;∀x ∀y ∀z (Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)));"∀x (Chef(x) → PrepareMeal(x, y))
∀x (Waiter(x) → ServeMeal(x, y))
∀x (Customer(x) → EnjoyMeal(x, y))
∀x (Restaurant(x) → (∃z (Chef(z) ∧ PrepareMeal(z, y))) ∧ (∃z (Waiter(z) ∧ ServeMeal(z, y))) ∧ (∃z (Customer(z) ∧ EnjoyMeal(z, y))))";0.1341633235864603;0.0
If a vehicle can travel on both land and water, it is an amphibious vehicle.;∀x (Vehicle(x) ∧ CanTravelOnLand(x) ∧ CanTravelOnWater(x) → AmphibiousVehicle(x));∀x (x isAmphibiousVehicle → x canTravelOnLand ∧ x canTravelOnWater);0.0;0.0
A tool with a long handle, a flat blade, and is used for lifting and moving loose material is a shovel.;∀x ∀y ∀z (Tool(x) ∧ LongHandle(y) ∧ FlatBlade(z) ∧ Has(x, y) ∧ Has(x, z) ∧ LiftsAndMovesLooseMaterial(x) → Shovel(x));∀x (Tool(x) ∧ HasLongHandle(x) ∧ HasFlatBlade(x) ∧ UsedForLifting(x) ∧ UsedForMoving(x) ∧ Material(x, Loose) → Shovel(x));0.3373209754351716;1.0
A camera can capture photos or record videos.;∀x (Camera(x) → (CapturePhotos(x) ∨ RecordVideos(x)));∀x (Camera(x) → (CapturePhotos(x) ∨ RecordVideos(x)));1.0;1.0
A balanced diet that includes a variety of fruits, vegetables, and lean proteins can provide essential nutrients and promote overall health and wellness.;∀x∀y∀z (BalancedDiet(x) ∧ VarietyOfFruits(y) ∧ Vegetables(z) ∧ LeanProteins(x) ∧ IncludesElements(x, y, z) → ProvidesEssentialNutrients(x) ∧ PromotesOverallHealthAndWellness(x));∀x (balanced_diet(x) → (variety_of_fruits(x) ∧ variety_of_vegetables(x) ∧ lean_proteins(x)) ∧ essential_nutrients(x) ∧ overall_health(x) ∧ wellness(x));0.2506556926594281;0.578125
A vehicle that is designed for traveling on snow, equipped with skis or tracks, and powered by an engine is a snowmobile.;∀x (Vehicle(x) ∧ DesignedForTravelingOnSnow(x) ∧ (EquippedWithSkis(x) ∨ EquippedWithTracks(x)) ∧ PoweredByEngine(x) → Snowmobile(x));∀x (Snowmobile(x) ↔ (DesignedForSnow(x) ∧ EquippedWithSkisOrTracks(x) ∧ PoweredByEngine(x)));0.38018457060568134;0.546875
A sports event could be played indoors or outdoors, not both.;∀x (SportsEvent(x) → (IndoorEvent(x) ⊕ OutdoorEvent(x)));∀x (SportsEvent(x) → (Indoors(x) ∨ Outdoors(x)) ∧ ¬Indoors(x) ∨ ¬Outdoors(x));0.3727443061135825;0.75
A product is eco-friendly if it is made from sustainable materials, has a low carbon footprint, or encourages conservation of resources.;∀x (Product(x) ∧ (SustainableMaterials(x) ∨ LowCarbonFootprint(x) ∨ EncouragesConservation(x)) → EcoFriendly(x));EcoFriendly(X) :- MadeFromSustainableMaterials(X), LowCarbonFootprint(X), EncouragesConservationOfResources(X);0.0;0.0
A tsunami can be triggered by underwater earthquakes, volcanic eruptions, or landslides, causing a series of massive waves that devastate coastal areas.;∀x (Tsunami(x) → ∃y (UnderwaterEarthquake(y) ∨ VolcanicEruption(y) ∨ Landslide(y)) ∧ Triggers(x, y) ∧ CausesMassiveWaves(x) ∧ DevastatesCoastalAreas(x));tsunami(X) ∧ triggered_by(X, underwater_earthquake(Y)) ∨ triggered_by(X, volcanic_eruption(Y)) ∨ triggered_by(X, landslide(Y)) → massive_waves(Y) ∧ coastal_areas(Z) ∧ devastate(Y, Z);0.0;0.0
A device that uses electricity and emits light is a light-emitting device.;∀x (Device(x) ∧ UsesElectricity(x) ∧ EmitsLight(x) → LightEmittingDevice(x));∀x ( (UsesElectricity(x) ∧ EmitsLight(x)) → LightEmittingDevice(x));0.6656606804388329;0.9375
If a person works in the news industry and reports on events, they are considered a journalist.;∀x (WorksInNewsIndustryAndReportsOnEvents(x) → Journalist(x));∀x (worksInNewsIndustry(x) ∧ reportsOnEvents(x) → journalist(x));0.5292031904718658;0.875
All triangles with equal sides have equal angles.;∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x));∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x));1.0;1.0
Some bicycles are lightweight, durable, and suitable for off-road use.;∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∧ OffRoadSuitable(x));∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∧ OffRoadSuitable(x));1.0;1.0
A bird flies if it has wings.;∀x (Bird(x) ∧ HasWings(x) → Flies(x));∀x (Bird(x) → Flies(x) ∧ HasWings(x));1.0;0.5
A garment that is worn on the lower part of the body, has separate openings for each leg, and is made of fabric is a pair of pants or a skirt.;∀x (Garment(x) ∧ WornOnLowerPartOfBody(x) ∧ SeparateOpeningsForEachLeg(x) ∧ MadeOfFabric(x) → (Pants(x) ∨ Skirt(x)));∀x (Garment(x) ∧ LowerBody(x) ∧ SeparateOpenings(x) ∧ MadeOfFabric(x) → (PairOfPants(x) ∨ Skirt(x)));0.7648646542374046;1.0
A polygon with three sides and three angles is a triangle.;∀x (Polygon(x) ∧ Sides(x, 3) ∧ Angles(x, 3) → Triangle(x));∀x (Polygon(x) ∧ Number_of_sides(x) = 3 ∧ Number_of_angles(x) = 3 → Triangle(x));0.49729532217229977;0.0
A sport that is played between two teams on a field with a ball and the objective is to score points by getting the ball into the opposing team's goal is a goal-based sport.;∀x (Sport(x) ∧ PlayedBetweenTwoTeams(x) ∧ PlayedOnField(x) ∧ PlayedWithBall(x) ∧ ObjectiveToScorePointsByGettingBallIntoOpposingTeamsGoal(x) → GoalBasedSport(x));∀x (x is a sport ∧ x is played between two teams ∧ x is played on a field ∧ x uses a ball ∧ goal(x) → x is a goal-based sport);0.13492968586686702;0.0
An orchestra performs a concert with musicians playing various instruments.;∀x ∀y ∀z (Orchestra(x) ∧ Concert(y) ∧ Instrument(z) → (Performs(x, y) ∧ ∃w (Musician(w) ∧ Plays(w, z))));∀x (Orchestra(x) → ∃y (Concert(y) ∧ Musicians(y) ∧ Instruments(z) ∧ Plays(x, y, z)));0.3751324769940384;0.640625
A detective solves crimes by gathering evidence and analyzing clues.;∀x (Detective(x) → (∃y (Crime(y) ∧ Solves(x, y) ∧ GathersEvidence(x) ∧ AnalyzesClues(x))));solve_crime(detective, crime) :- gather_evidence(detective, evidence), analyze_clues(detective, clues).;0.0;0.0
Some paintings are abstract and created by famous artists.;∃x (Painting(x) ∧ Abstract(x) ∧ CreatedByFamousArtist(x));∃x (Painting(x) ∧ Abstract(x) ∧ FamousArtist(y) ∧ CreatedBy(y, x));0.5538142279874649;0.9375
An instrument is either a string instrument or a wind instrument, but not both.;∀x (Instrument(x) → ((StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬(StringInstrument(x) ∧ WindInstrument(x))));(An(x) ∧ Instrument(x)) → (StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬(StringInstrument(x) ∧ WindInstrument(x));0.7869897039548901;0.8125
Mammals give birth to live young and nurse their offspring with milk produced by the mother.;∀x (Mammal(x) → (GivesBirthToLiveYoung(x) ∧ NursesOffspringWithMilk(x)));∀x (Mammal(x) → (GiveBirthToLiveYoung(x) ∧ NurseOffspring(x, MilkProducedBy(Mother(x))))).;0.47558001316318055;0.0
