index;text
1;My name is John
2;I see John
3;John sees Jane
4;John sees a person
5;Mary loves everyone
6;No one talks
7;Mary likes every person
8;Nobody talks
9;Every person loves themselves
10;Not every person loves themselves
11;Every person does not love themselves
12;Some people don't love themselves
13;No one loves themselves
14;Nobody loves themselves
15;Everyone loves everyone
16;A student smiles
17;Every student smiles
18;Every student except John dances
19;Everyone dances or sleeps
20;Every person dances and sleeps
21;Every student who likes Mary is happy
22;Every student who likes apples is healthy
23;John likes apples
24;John is not Mary
25;John is not a llama
26;Not all those who wander are lost
27;No people who wander are lost
28;John does not love anyone
29;John does not love everyone
30;Everyone who sees Mary loves Mary
31;Everyone loves someone
32;Someone loves everyone
33;Someone respects everyone
34;Someone sees everyone
35;Someone reads and thinks
36;Everyone who thinks is smart
37;No one who runs walks
38;If anyone cheats, he suffers
39;If anyone cheats, the person suffers
40;If anyone cheats, a person suffers
41;If anyone cheats, everyone suffers
42;If someone cheats, everybody else suffers
43;If somebody cheats, everybody else suffers
44;Mary loves everyone except John
45;Anyone who loves everyone loves himself.
46;I don't know you
47;Nobody knows the answer
48;Jim doesn't remember what Jack told him
49;Jane seems to know a lot of things
50;John will either stay or go away
51;University students pay attention to teachers
52;University students do not pay attention to teachers
53;Every professor has a favorite joke that they always tell to students
54;Every university professor is a person who knows some subject well
55;Not every university professor is happy
56;No university professor is happy
57;None of the university professors are happy
58;None of Joyce's books are easy to understand
59;Everybody sleeps
60;Nobody sleeps who is unhappy
61;Please don't leave your belongings behind
62;Does John have any books by Tolkien?
63;John doesn't have Tolkien's books
64;Anyone who has a cat also likes dogs
65;Anyone who has a cat also likes dogs who like cats
66;Not all people who like to wash the dishes also like to clean the bathroom
67;If John doesn't study he will fail the exam
68;Everyone whose name is John is lucky
69;Not all heroes wear capes
70;Everybody was not examined
71;John would like to introduce his friend Jack
72;The quick brown fox jumps over the lazy dog
73;Jack is a friend of John
74;Joe Biden is the president of the United States of America
75;Nobody ever wanted to become president
76;No person would ever want to become president
77;I don't like apples that taste bad
78;Untasty apples are not liked by anybody
79;I don't see any point in doing that
80;Small children are usually very curious
81;Daunting tasks can be very rewarding when completed
82;All people except Socrates are mortal
83;Nobody here apart from John is patient
84;The times are changing rapidly and old people hate it
85;Twenty kilograms of meat is a lot
86;Ignorance is strength
87;People dislike being told what to do by other people who are unqualified to do so
88;No amount of arguing is going to persuade John to get a cat
89;John is a person who likes dogs
90;Dan makes mistakes
91;What Josh dislikes is bats
92;There are a lot of problems in the world
93;Josh's hobbies are painting and reading
94;Big round red balls are scary
95;James does not understand first-order logic
96;Jane loves getting to know other people
97;Using drugs is very dangerous
98;People who stay up late don't like people who go to bed early
99;Cats are not dogs
